statename,coor1,rank,countryd,coor2,val2013,val2014,val2015,val2016,share13,share14,share15,share16,change
Unidentified,"[-126.71630859375, 40.98819156349393]",18,Italy,"[13.0078125,42.5530802889558]",376.33,366.41,364.08,364.49,0.7891,0.7474,0.7784,0.7964,0.11
Unidentified,"[-126.71630859375, 40.98819156349393]",22,Colombia,"[-73.037109375,3.8204080831949407]",375.76,415.11,337.49,263.76,0.7879,0.8467,0.7215,0.5763,-21.85
Wyoming,"[-107.54791259765625, 43.53660274231031]",2,Canada,"[-105.64453124999999,57.61010702068388]",375.23,727.35,191.97,186.19,27.7821,41.3908,16.3383,16.9555,-3.01
South Carolina,"[-80.9197998046875, 33.904616008362325]",16,Chile,"[-71.3671875,-35.46066995149529]",375.07,291.66,213.66,401.41,1.4239,0.9796,0.6895,1.2816,87.87
Minnesota,"[-94.02099609375,46.30899569419859]",19,Brazil,"[-51.240234375,-9.44906182688142]",374.68,320.99,280.53,210.64,1.8048,1.5001,1.4015,1.0969,-24.92
Oregon,"[-120.21240234375001,43.76315996157264]",9,Germany,"[10.17333984375,51.12421275782688]",371.25,381,359.38,380.56,1.9924,1.824,1.7892,1.7495,5.89
South Dakota,"[-100.162353515625, 44.861709529639704]",2,Mexico,"[-102.3046875,23.926013033021192]",370.81,342.82,389.29,308.49,23.4371,21.7308,27.4149,25.2169,-20.76
Puerto Rico,"[-66.533203125,18.2397859708389]",20,Australia,"[134.560546875,-25.641526373065755]",370.08,233.89,152.88,113.09,1.8535,1.1533,0.7576,0.5687,-26.03
Illinois,"[-89.000244140625,40.10328591293439]",25,Italy,"[13.0078125,42.5530802889558]",369.6,347.91,332.71,342.18,0.5582,0.5087,0.5248,0.5726,2.84
Virginia,"[-78.62091064453125, 37.67077737288316]",10,"Korea, South","[128.056640625,36.527294814546245]",368.39,425.39,432.77,370.6,2.0585,2.1938,2.4311,2.2718,-14.36
Arizona,"[-112.093505859375,33.44977658311846]",12,Netherlands,"[5.537109374999999,52.02545860348814]",368.31,330.22,423.7,419.18,1.8909,1.5542,1.8702,1.904,-1.07
Tennessee,"[-85.98175048828124, 35.980228800645676]",14,France,"[2.28515625,47.15984001304432]",366.65,331.58,337.84,410.33,1.1291,0.9972,1.0367,1.3054,21.46
Idaho,"[-114.521484375,44.37098696297173]",10,Hong Kong,"[114.13970947265625,22.403410892712124]",365.07,151.49,85.95,82.72,6.3057,2.9485,2.0014,1.6962,-3.76
Massachusetts,"[-72.0703125,42.32606244456202]",17,Australia,"[134.560546875,-25.641526373065755]",363.27,351.15,348.38,331.81,1.3549,1.2823,1.3775,1.2815,-4.76
Arizona,"[-112.093505859375,33.44977658311846]",11,Brazil,"[-51.240234375,-9.44906182688142]",362.82,352.19,435.31,440.05,1.8627,1.6576,1.9214,1.9987,1.09
Tennessee,"[-85.98175048828124, 35.980228800645676]",19,Saudi Arabia,"[46.23046874999999,24.206889622398023]",360.25,373.21,199.12,289.14,1.1093,1.1224,0.611,0.9199,45.21
Puerto Rico,"[-66.533203125,18.2397859708389]",10,Singapore,"[103.84552001953125,1.3154972002419345]",360.17,476.21,589.1,501.9,1.804,2.3481,2.9193,2.5238,-14.8
